1,acquisition,0,,"n.获得,添加的物品"
2,adolescent,0,,"a.青春期的,青年的n.青少年"
3,adverse,0,,"a.不利的,敌对的,相反的,逆的"
4,aesthetic,0,,"a.美学的,审美的,有美感"
5,affiliate,0,,"vt.附属,接纳vi.有关"
6,afflict,0,,"vt.使痛苦,折磨"
7,aggravate,0,,"vt.使恶化,使更加重"
8,agitation,0,,"n.鼓动,煸动;搅动"
9,alleviate,0,,"vt.减轻,使缓和"
10,amends,0,,n.赔偿
11,anonymous,0,,a.匿名的
12,appraisal,0,,"n.评价,估价,鉴定"
13,articulate,0,,"a.发音清晰的,听得懂的"
14,ascertain,0,,"vt.查明,确定,弄清"
15,ascribe,0,,vt.把…归于
16,assault,0,,vt.袭击;殴打n.攻击
17,assert,0,,"vt.断言,宣称;维护"
18,asset,0,,"n.资产,有用的东西"
19,assimilate,0,,"vt.使同化,吸收,比较"
20,attorney,0,,n.代理人;辩护律师
21,augment,0,,"vt.vi.n.增加,增大"
22,authentic,0,,"a.真实的,可靠的,可信的"
23,avail,0,,vt.有益于n.效用
24,avert,0,,"vt.转开,避免,防止"
25,baffle,0,,vt.使挫折n.迷惑
26,barren,0,,a.贫瘠的;不妊的
27,batch,0,,"n.一组,分批,成批,批"
28,bizarre,0,,a.奇异的
29,bleak,0,,"a.萧瑟的,苍白的,荒凉的"
30,blunder,0,,vi.犯大错n.大错
31,blunt,0,,"a.钝的,坦率的,麻痹的"
32,bonus,0,,"n.奖金,红利"
33,brace,0,,"n.支柱vt.拉紧,撑牢"
34,brittle,0,,a.脆的;易损坏的
35,capsule,0,,"n.胶囊,瓶帽,太空舱"
36,casualty,0,,"n.伤亡,受害者"
37,ceramic,0,,a.陶器的n.陶瓷制品
38,cereal,0,,"n.谷类,五谷,禾谷"
39,commentary,0,,"n.注释,评论,批评"
40,commitment,0,,"n.委托,实行,承担义务,赞助"
41,commute,0,,"vt.交换,兑换.经常来往"
42,compatible,0,,a.一致的;兼容制的
43,competence,0,,"n.胜任,资格,能力"
44,compile,0,,"vt.编辑,编制,搜集"
45,compulsory,0,,"a.强迫的,义务的"
46,concede,0,,"vt.承认,退让vi.让步"
47,conceive,0,,"vt.设想,以为;怀孕"
48,concession,0,,"n.让步,迁就"
49,concise,0,,"a.简洁的,简明的"
50,confer,0,,"vt.赠予,协议vi.协商"
51,configuration,0,,"n.结构,配置,形态"
52,conform,0,,vt.使遵守vi.一致
53,confusion,0,,n.混乱;骚乱;混淆
54,consecutive,0,,"a.连续的,联贯的,始终一贯的"
55,consensus,0,,n.一致
56,conserve,0,,"vt.保存,保全n.蜜饯,果酱"
57,conspicuous,0,,"a.显著的,显眼的,出众的"
58,constituent,0,,a.形成的n.选民
59,constrain,0,,"vt.强迫,勉强,驱使"
60,consultant,0,,"n.顾问,商议者"
61,contaminate,0,,"vt.弄脏,毒害,传染"
62,contemplate,0,,"vt.注视,沉思,打算vi.冥思苦想"
63,contempt,0,,n.轻蔑;藐视
64,contend,0,,vi.竞争vt.坚决主张
65,contradict,0,,"vt.反驳,否认"
66,contrive,0,,"vt.vi.发明,设计,图谋"
67,controversial,0,,"a.争论的,论争的,被议论的"
68,controversy,0,,"n.争论,辩论,争吵"
69,converge,0,,"vi.聚合,集中于一点"
70,convict,0,,"n.囚犯,罪犯vt.宣告有罪"
71,cordial,0,,"a.真诚的,诚恳的"
72,corps,0,,"n.军团,队,团,兵种"
73,corrode,0,,"vt.vi腐蚀,侵蚀,破坏"
74,corrupt,0,,vt.贿赂a.腐败的
75,costume,0,,"n.装束,服装"
76,courtesy,0,,"n.礼貌,谦恭,请安"
77,cripple,0,,n.跛子;残废的人
78,criterion,0,,"n.标准,准则,尺度"
79,crucial,0,,"a.决定性的,重要的,严厉的"
80,cue,0,,"n.开端,线索,发辫,长队"
81,culminate,0,,"vi.vi.到绝顶,达于极点,达到高潮"
82,cumulative,0,,a.累积的
83,curb,0,,"n.抑制,勒马绳vt.抑制,束缚"
84,curt,0,,"a.简略的,简短的,生硬的"
85,cynical,0,,"a.愤世嫉俗的,讽刺的,冷嘲的"
86,deficit,0,,"n.赤字,不足额"
87,degenerate,0,,"a.堕落的vi.vt使变质,使退化."
88,deliberate,0,,a.深思熟虑的;审慎的
89,denote,0,,"vt.指示,意味着"
90,denounce,0,,"vt.谴责,声讨;告发"
91,depict,0,,"vt.描述,描写"
92,designate,0,,"vt.指出,指示;指定"
